Nomor Akun (CoA),Uraian,Kategori (Sheet),is_postable
21.02.02,Ibadah keluarga malam Natal,PENERIMAAN,TRUE
21.02.03,Ibadah keluarga malam Akhir Tahun,PENERIMAAN,TRUE
21.03,Kolekte Ibadah Unit Misioner (PELKAT),PENERIMAAN,FALSE
21.03.01,Pelkat Persekutuan Anak (PA),PENERIMAAN,TRUE
21.03.02,Pelkat Persekutuan Taruna (PT),PENERIMAAN,TRUE
21.03.03,Pelkat Gerakan Pemuda (GP),PENERIMAAN,TRUE
21.03.04,Pelkat Persekutuan Kaum Perempuan (PKP),PENERIMAAN,TRUE
21.03.05,Pelkat Persekutuan Kaum Bapak (PKB),PENERIMAAN,TRUE
21.03.06,Pelkat Persekutuan Kaum Lanjut Usia (PKLU),PENERIMAAN,TRUE
21.04,Kolekte Ibadah Komisi,PENERIMAAN,FALSE
21.04.01,Diakonia,PENERIMAAN,TRUE
21.04.02,Kelas Katekisasi,PENERIMAAN,TRUE
21.05,Kolekte Pengucapan Syukur,PENERIMAAN,TRUE
21.06,Kolekte Ibadah Jumat Agung,PENERIMAAN,TRUE
21.07,Kolekte Ibadah Lainnya,PENERIMAAN,FALSE
21.07.01,Ibadah Paskah Subuh,PENERIMAAN,TRUE
21.07.02,Ibadah Paskah Pelkat PA,PENERIMAAN,TRUE
21.07.03,Ibadah Kenaikan Tuhan Yesus,PENERIMAAN,TRUE
21.07.04,Ibadah HUT Hosiana,PENERIMAAN,TRUE
21.07.05,Ibadah HUT RI,PENERIMAAN,TRUE
21.07.06,Ibadah Hari Doa GPIB,PENERIMAAN,TRUE
21.07.07,"Gabungan MUPEL GP,PKP,PKB",PENERIMAAN,TRUE
21.08,Persembahan Persepuluhan,PENERIMAAN,TRUE
21.09,Persembahan Syukur,PENERIMAAN,FALSE
21.09.01,Ibadah Minggu pagi,PENERIMAAN,TRUE
21.09.02,Ibadah Minggu sore,PENERIMAAN,TRUE
21.09.03,Ibadah Malam Natal,PENERIMAAN,TRUE
21.09.04,Ibadah Hari Natal,PENERIMAAN,TRUE
21.09.05,Ibadah Hari Natal 2,PENERIMAAN,TRUE
21.09.06,Ibadah Malam Akhir Tahun,PENERIMAAN,TRUE
21.09.07,Ibadah Tahun Baru,PENERIMAAN,TRUE
21.10,Persembahan Khusus,PENERIMAAN,FALSE
21.10.01,a. Perorangan,PENERIMAAN,TRUE
21.10.02,b. Perjamuan Kudus,PENERIMAAN,TRUE
21.10.03,c. Malam Natal,PENERIMAAN,TRUE
21.10.04,d. Hari Natal,PENERIMAAN,TRUE
21.10.05,e. Malam Akhir Tahun,PENERIMAAN,TRUE
21.10.06,f. Tahun Baru ( Bulan Kelahiran ),PENERIMAAN,TRUE
21.10.07,g. Baptisan,PENERIMAAN,TRUE
21.10.08,h. Peneguhan Sidi,PENERIMAAN,TRUE
21.11,Persembahan Syukur (SBU/SGDK),PENERIMAAN,TRUE
21.12,Persembahan Syukur Jumat Agung,PENERIMAAN,TRUE
211,Retur,PENERIMAAN,TRUE
22,BIDANG-BIDANG,PENERIMAAN,FALSE
22.01,TEOLOGI & PERSIDANGAN GEREJAWI,PENERIMAAN,FALSE
22.01.01,Ibadah Rabu Doa GPIB,PENERIMAAN,TRUE
22.01.02,Ibadah Kamis Putih,PENERIMAAN,TRUE
22.01.03,Ibadah Sabtu Teduh,PENERIMAAN,TRUE
22.01.04,Ibadah Kenaikan Tuhan Yesus Kristus,PENERIMAAN,TRUE
22.01.05,Ibadah Perayaan Natal Jemaat,PENERIMAAN,TRUE
22.01.06,Hari Kemerdekaan,PENERIMAAN,TRUE
22.01.07,Persidangan Sinode Tahunan (PST),PENERIMAAN,TRUE
22.01.08,Musyawarah Tahunan Mupel Jkt Pusat Tahun 2026/2027,PENERIMAAN,TRUE
22.01.09,Ibadah HUT GPIB Jemaat Hosiana ke-49,PENERIMAAN,TRUE
22.01.10,Ibadah Paskah Jemaat,PENERIMAAN,TRUE
22.01.11,Peneguhan Sidi Reguler,PENERIMAAN,TRUE
22.01.12,Peneguhan Sidi Dewasa,PENERIMAAN,TRUE
22.01.13,Service Rutin Alat Musik Piano,PENERIMAAN,TRUE
22.01.14,Latihan pemandu lagu untuk IHM,PENERIMAAN,TRUE
22.01.15,Latihan pemandu lagu untuk Ibadah Hari Raya Gerejawi,PENERIMAAN,TRUE
22.01.16,Pianis non-Hosiana untuk back up pianis Hosiana,PENERIMAAN,TRUE
22.01.17,Paduan Suara / Vocal Group dari Gereja Luar,PENERIMAAN,TRUE
22.01.18,"Ibadah Hari Minggu Pelayanan Anak 
  ( IHMPA )",PENERIMAAN,TRUE
22.01.19,Perayaan Paskah Anak 2027,PENERIMAAN,TRUE
22.01.20,Penyediaan Alat Peraga,PENERIMAAN,TRUE
22.01.21,Persiapan Pelayan PA,PENERIMAAN,TRUE
22.01.22,Little Blessing Market,PENERIMAAN,TRUE
22.01.23,Ibadah HUT Pelkat PA GPIB ke 67 (6Sep1959) & PA GPIB Hosiana ke 48 (23Sep1978),PENERIMAAN,TRUE
22.01.24,Ibadah padang Pelkat PT se-Mupel Jakarta Pusat,PENERIMAAN,TRUE
22.01.25,Ibadah HUT Pelkat PT GPIB yang ke 44 tahun ( 30 Januari 1983 ),PENERIMAAN,TRUE
22.01.26,Ibadah HUT Pelkat PT Hosiana yang ke 41 tahun ( 09 Oktober 1982 ),PENERIMAAN,TRUE
22.01.27,Majelis Bercerita di IHMPT,PENERIMAAN,TRUE
22.01.28,Ibadah Gabungan Pelkat GP se-Mupel GPIB Jakarta Pusat.,PENERIMAAN,TRUE
22.01.29,Ibadah Corak Muda (HUT GP Hosiana ke 46),PENERIMAAN,TRUE
22.01.30,Ibadah Corak Muda (HUT GP GPIB 76),PENERIMAAN,TRUE
22.01.31,Ibadah Gabungan Pelkat PKP,PENERIMAAN,TRUE
22.01.32,Ibadah HUT Pelkat PKP Hosiana ke 49 (10 Feb) dan HUT Pelkat PKP GPIB ke 62 (18 Feb),PENERIMAAN,TRUE
22.01.33,Latihan Padus PKP Mupel Jakpus,PENERIMAAN,TRUE
22.01.34,Latihan paduan suara PKP Hosiana,PENERIMAAN,TRUE
22.01.35,Ibadah syukur ACWC,PENERIMAAN,TRUE
22.01.36,Ibadah HUT Pelkat PKB GPIB ke 46 (11 Juli 1980),PENERIMAAN,TRUE
